coder,unique_id,link,grammatical_class,paper_eligibility,description,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,test_type,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_contrast,stimuli_type,stimuli_modality,stimuli_actor,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,unique_infant,test_method,agent_argument_type_clean,agent_argument_number,agent_argument_type2,patient_argument_type_clean,adult_participant,data_source_clean,publication_year
izzy/anjie,lidz2009,https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_4,2,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 2a",familiarization_low_lexical,looking_duration,action,11,English,697.076,192,NA,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,no_change,video_person,video,non_person,asynchronous,yes,no,distributed,4,1,9,5,Look! The flower is blicking.,Which one is blicking?,1,contrast event,16,0.49,0.5,0.36,0.244,0.061,0.039,NA,NA,-0.04098360655737709,0.06255248925020156,group_means_one,unique_condition,look,varying_agent,varying,pronoun,intransitive,no,table,2009
izzy/anjie,lidz2009,https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_4,2,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 2b",familiarization_high_lexical,looking_duration,action,12,English,697.076,192,NA,typically_developing,intransitive,noun,NA,fake_verb,no_change,video_person,video,non_person,asynchronous,yes,no,distributed,4,1,9,5,Look! That thing is blicking!,Which one is blicking?,1,contrast event,16,0.6,0.5,0.39,0.184,0.046,0.044,NA,NA,0.5434782608695651,0.07173026937618147,group_means_one,unique_condition,look,noun,1,noun,intransitive,no,table,2009
anjie,valleau2017,https://www.semanticscholar.org/paper/The-effects-of-linguistic-context-on-visual-while-Valleau-Arunachalam/93d1194fa3e60c9a4b69d29d42340412ba845005,verb,include,new object vs new action,"Valleau, M. J., & Arunachalam, S. (2017).",author_contact,1,Valleau & Arunachalam (2017) - 1a,Full_DP,pointing_scene,action,13,English,1004.52,69,NA,typically_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,immediate_after,yes,yes,distributed,6,1,1,4,A girl is gonna pilk an unbrella. Let's see,Where do you see pilking?,1,familiar action vs familiar object,20,0.55,0.5,NA,0.33,NA,NA,NA,NA,0.15151515151515163,0.05057392102846649,group_means_one,unique_condition,point,noun,1,noun,noun,no,author_contact,2017
anjie,valleau2017,https://www.semanticscholar.org/paper/The-effects-of-linguistic-context-on-visual-while-Valleau-Arunachalam/93d1194fa3e60c9a4b69d29d42340412ba845005,verb,include,new object vs new action,"Valleau, M. J., & Arunachalam, S. (2017).",author_contact,1,Valleau & Arunachalam (2017) - 1b,pronoun,pointing_scene,action,14,English,1004.52,68,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,yes,yes,distributed,6,1,1,4,Let's see what happens here. She's gonna pilk it.,Where do you see pilking?,1,familiar action vs familiar object,20,0.5,0.5,NA,0.31,NA,NA,NA,NA,0,0.05,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,author_contact,2017
anjie,waxman2009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3482006/pdf/nihms411836.pdf,verb,include,new object vs new action,"Waxman, S.R., J. Lidz, I. Braun and T. Lavin. (2009)",figure_2,1,"Waxman, Lidz,  Braun & Lavin (2009) - 1a",verb,looking_duration,action,15,English,725.6896,57,NA,typically_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,simultaneous,no,no,distributed,6,1,5,6,"Look, the man is larping a ballon!",Which one is he larping?,1,contrast phase,24,0.49270466183414247,0.5,0.3678526301788921,0.08796465126706897,0.018221574344023325,0.01983108332779145,NA,NA,-0.08293488419238088,0.04180996239616674,group_means_one,unique_condition,look,noun,1,noun,noun,no,plot,2009
anjie,waxman2009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3482006/pdf/nihms411836.pdf,verb,include,new object vs new action,"Waxman, S.R., J. Lidz, I. Braun and T. Lavin. (2009)",figure_4,2,"Waxman, Lidz,  Braun & Lavin (2009) - 2a",verb,looking_duration,action,16,English,732.9952,52,NA,typically_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,simultaneous,no,no,distributed,6,1,5,6,"Look, the man is larping a ballon!",Which one is he larping?,1,"contrast phase, and the actions are compared against one with action the other with object",24,0.4191719228127147,0.5,0.3795666021357647,0.07507709771797813,0.02,0.01903453444076688,NA,NA,-1.0766009827778682,0.06581395158579732,group_means_one,unique_condition,look,noun,1,noun,noun,no,plot,2009
anjie,syrett2014,https://www.tandfonline.com/doi/pdf/10.1080/15475441.2013.840493?casa_token=4RDHUS3NFYMAAAAA:w7rHeoBd5gJ71jdzK-Yab3-yg5adW8MKRb5MtKVn3MFHGrGR_DOTRt6PmCubJGImYJXfwnKmkR7x,verb,include,new object vs new action,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014)",figure_2,1a,"Syrett, Arunachalam, & Waxman (2014) - 1a",semantic_rich_slowly,pointing,action,17,English,831.012,73,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,2,Let's see a boy and a ballon. He's gonna pilk it slowly!,Where's pilking?,1,"has adverb, different contrast phase",20,0.65,0.5,NA,0.22360679774997896,0.22360679774997896,NA,NA,NA,0.670820393249937,0.061250000000000006,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,2014
anjie,syrett2014,https://www.tandfonline.com/doi/pdf/10.1080/15475441.2013.840493?casa_token=4RDHUS3NFYMAAAAA:w7rHeoBd5gJ71jdzK-Yab3-yg5adW8MKRb5MtKVn3MFHGrGR_DOTRt6PmCubJGImYJXfwnKmkR7x,verb,include,new object vs new action,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014)",figure_2,1a,"Syrett, Arunachalam, & Waxman (2014) - 1b",semantic_sparse_nicely,pointing,action,18,English,831.012,73,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,2,Let's see a boy and a ballon. He's gonna pilk it nicely!,Where's pilking?,1,"has adverb, different contrast phase",20,0.49,0.5,NA,0.22360679774997896,0.22360679774997896,NA,NA,NA,-0.044721359549995836,0.050050000000000004,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,2014
anjie,syrett2014,https://www.tandfonline.com/doi/pdf/10.1080/15475441.2013.840493?casa_token=4RDHUS3NFYMAAAAA:w7rHeoBd5gJ71jdzK-Yab3-yg5adW8MKRb5MtKVn3MFHGrGR_DOTRt6PmCubJGImYJXfwnKmkR7x,verb,include,new object vs new action,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014)",figure_3,1b,"Syrett, Arunachalam, & Waxman (2014) - 1c",semantic_sparse_rightnow,pointing,action,19,English,827.968,67,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,2,Let's see a boy and a ballon. He's gonna pilk it right now!,Where's pilking?,1,"has adverb, different contrast phase",20,0.56,0.5,NA,0.25155764746872633,0.25155764746872633,NA,NA,NA,0.23851391759997778,0.05142222222222223,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,2014
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action vs new actor different action,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1a,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1a",same_simple,pointing,action,childers20171ab,English,1004.52,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,12,0.7,0.5,NA,0.19696969696969696,0.19696969696969696,NA,NA,NA,1.015384615384615,0.12629191321499011,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,plot,2017
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1b,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1b",same_complex,pointing,action,childers20171ab,English,1004.52,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,12,0.75,0.5,NA,0.16666666666666666,0.16666666666666666,NA,NA,NA,1.5,0.17708333333333331,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,plot,2017
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object (three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1c,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1c",diff_simple,pointing,action,childers20171cd,English,1004.52,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,12,0.85,0.5,NA,0.1818181818181818,0.1818181818181818,NA,NA,NA,1.925,0.237734375,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,plot,2017
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object(three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1d,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1d",diff_complex,pointing,action,childers20171cd,English,1004.52,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,12,0.6,0.5,NA,0.16666666666666666,0.16666666666666666,NA,NA,NA,0.5999999999999999,0.09833333333333333,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,plot,2017
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action vs new actor different action,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2a,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2a",same_simple,pointing,action,childers20172ab,English,1156.72,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,10,0.75,0.5,NA,0.22135943621178658,0.22135943621178658,NA,NA,NA,1.129384878631564,0.16377551020408163,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,text,2017
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2b,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2b",same_complex,pointing,action,childers20172ab,English,1156.72,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,10,0.7,0.5,NA,0.22135943621178658,0.22135943621178658,NA,NA,NA,0.903507902905251,0.1408163265306122,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,text,2017
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object (three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2c,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2c",diff_simple,pointing,action,childers20172cd,English,1156.72,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,10,0.885,0.5,NA,0.1739252713092609,0.1739252713092609,NA,NA,NA,2.213594362117865,0.34499999999999986,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,text,2017
anjie,childers2017,https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object(three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2d,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2d",diff_complex,pointing,action,childers20172cd,English,1156.72,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?,10,0.635,0.5,NA,0.22135943621178658,0.22135943621178658,NA,NA,NA,0.6098678344610445,0.11859693877551021,group_means_one,not_unique,point,pronoun,1,pronoun,intransitive,no,text,2017
anjie,snape2018,https://core.ac.uk/download/pdf/185507178.pdf,verb,include,same actor diff action vs same actor diff object,"Snape, S., & Krott, A. (2018)",figure_2,1,Snape & Krott (2018) - 1a,single_action_scene,pointing,action,28,English,1275.436,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,4,2,look she is blicking,Which video is she blicking in?,2,NA,20,0.5221674876847291,0.5,NA,0.24233249017239103,0.24233249017239103,NA,0.3,NA,0.09147550817044604,0.05020919421487604,group_means_one,unique_condition,point,pronoun,1,pronoun,intransitive,no,plot,2018
anjie,snape2018,https://core.ac.uk/download/pdf/185507178.pdf,verb,include,same actor diff action vs same actor diff object,"Snape, S., & Krott, A. (2018)",figure_2,1,Snape & Krott (2018) - 1b,different_action,pointing,action,29,NA,1275.436,NA,NA,NA,NA,NA,NA,fake_verb,actor_change,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.7438423645320198,0.5,NA,0.2203022637930828,0.2203022637930828,NA,NA,NA,1.106853648862396,0.080628125,group_means_one,unique_condition,point,NA,1,noun,intransitive,no,plot,2018
anjie,snape2018,https://core.ac.uk/download/pdf/185507178.pdf,verb,include,same actor diff action vs same actor diff object,"Snape, S., & Krott, A. (2018)",figure_2,1,Snape & Krott (2018) - 1c,same_action,pointing,action,30,NA,1275.436,NA,NA,NA,NA,NA,NA,fake_verb,actor_change,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.58128078817734,0.5,NA,0.24233249017239103,0.24233249017239103,NA,NA,NA,0.3354101966249687,0.052812500000000005,group_means_one,unique_condition,point,NA,1,noun,intransitive,no,plot,2018
anjie,childers2020,https://journals.sagepub.com/doi/pdf/10.1177/0142723719875575?casa_token=skOefjuaywcAAAAA:PQygemETLed8uxtOSTcLwcdmSpizDDk3KiDn7t8IIUwijBsEP7DnzmzsV33sKgveGMzlOuuCB3id,verb,include,action with new object vs new objects vs different action,"Childers, J. B., Porter, B., Dolan, M., Whitehead, C. B., & McIntyre, K. P. (2020).",figure_3,1,"Childers, Porter, Dolan, Whitehead, & McIntyre (2020) - 1a",2.5_year_old_control,pointing,action,31,English,1004.52,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,4,2,4,5,Look! She's going to lorse it!,Where is she lorsing it?,2,NA,12,0.6,0.5,NA,0.20784609690826525,0.20784609690826525,NA,NA,NA,0.48112522432468807,0.09297839506172839,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,2020
anjie,childers2020,https://journals.sagepub.com/doi/pdf/10.1177/0142723719875575?casa_token=skOefjuaywcAAAAA:PQygemETLed8uxtOSTcLwcdmSpizDDk3KiDn7t8IIUwijBsEP7DnzmzsV33sKgveGMzlOuuCB3id,verb,include,action with new object vs new objects vs different action,"Childers, J. B., Porter, B., Dolan, M., Whitehead, C. B., & McIntyre, K. P. (2020).",figure_3,1,"Childers, Porter, Dolan, Whitehead, & McIntyre (2020) - 1b",3.5_year_old_control,pointing,action,32,English,1248.04,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,simultaneous,no,yes,distributed,4,2,4,5,Look! She's going to lorse it!,Where is she lorsing it?,2,NA,12,0.7,0.5,NA,0.18706148721743873,0.18706148721743873,NA,NA,NA,1.0691671651659735,0.1309632677945435,group_means_one,unique_condition,point,pronoun,1,pronoun,pronoun,no,plot,2020
