checked,coder,unique_id,expt_num,link,grammatical_class,paper_eligibility,short_cite,data_source,plot_label,expt_condition,dependent_measure,test_type,se,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note,n_1,x_1,x_2,x_2_raw,sd_1,sd_2,sd_2_raw,t,d,d_calc,d_var_calc,es_method,unique_infant,test_method,agent_argument_type_clean,agent_argument_number,agent_argument_type2,transitive_event_type2,patient_argument_type_clean,visual_stimuli_pair,adult_participant,data_source_clean,paradigm_type,publication_year
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78435,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1a,no_bystander_transitive,looking_duration,action,NA,11,English,471.82,NA,NA,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding him!,Find kradding!,2,NA,12,0.56,0.5,NA,0.16,NA,NA,NA,NA,0.375,0.089192708,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_one_action,no,text,action_matching,2015
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78436,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1b,no_bystander_intransitive,looking_duration,action,NA,12,English,471.82,NA,NA,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding!,Find kradding!,2,NA,12,0.6,0.5,NA,0.16,NA,NA,NA,NA,0.625,0.099609375,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_one_action,no,text,action_matching,2015
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78437,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1c,no_bystander_transitive_ rep,looking_duration,action,NA,13,English,453.556,NA,NA,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding him!,Find kradding!,2,NA,12,0.62,0.5,NA,0.1,NA,NA,NA,NA,1.2,0.143333333,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_one_action,no,text,action_matching,2015
yes,izzy,jin2015,1,https://www.ideals.illinois.edu/handle/2142/78438,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 1d,no_bystander_intransitive_rep,looking_duration,action,NA,14,English,453.556,NA,NA,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,animation_shape,animation,non_person,direct_caused_action,one_action,asynchronous,no,no,mass,1,2,17,2,He's kradding!,Find kradding!,2,NA,12,0.49,0.5,NA,0.11,NA,NA,NA,NA,-0.090909091,0.083677686,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_one_action,no,text,action_matching,2015
yes,izzy,jin2015,2,https://www.ideals.illinois.edu/handle/2142/78437,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 2a,bystander_transitive,looking_duration,action,NA,15,English,471.82,NA,NA,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,2,17,2,He's kradding him!,Find kradding!,2,NA,12,0.58,0.5,NA,0.18,NA,NA,NA,NA,0.444444444,0.091563786,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,text,action_matching,2015
yes,izzy,jin2015,2,https://www.ideals.illinois.edu/handle/2142/78438,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 2b,bystander_intransitive,looking_duration,action,NA,16,English,471.82,NA,NA,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,2,17,2,He's kradding!,Find kradding!,2,NA,12,0.63,0.5,NA,0.19,NA,NA,NA,NA,0.684210526,0.102839335,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,text,action_matching,2015
yes,izzy,jin2015,3,https://www.ideals.illinois.edu/handle/2142/78439,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 3a,it_transitive,looking_duration,action,NA,17,English,578.36,NA,17,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,13,3,The cat lorped the bunny!,it's lorping it!,2,NA,16,0.56,0.5,NA,0.09,NA,NA,NA,NA,0.666666667,0.076388889,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,text,action_matching,2015
yes,izzy,jin2015,3,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 3b,it_intransitive,looking_duration,action,NA,18,English,578.36,NA,17,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,animation_shape,animation,non_person,direct_caused_action,parallel_actions,asynchronous,no,no,mass,1,3,13,3,The cat lorped!,it's lorping!,2,NA,16,0.53,0.5,NA,0.14,NA,NA,NA,NA,0.214285714,0.063934949,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,text,action_matching,2015
yes,anjie,jin2015,6,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 6a,same_verb_intransitive,looking_duration,action,NA,19,English,1269.348,NA,90,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,no,yes,mass,1,3,10,3,She is pilking!,Find pilking!,2,NA,16,0.49,0.5,NA,0.12,NA,NA,NA,NA,-0.083333333,0.062717014,group_means_one,unique_condition,look,varying_agent,varying,pronoun,indirect_caused_action,intransitive,indirect_caused_action_parallel_actions,no,text,action_matching,2015
yes,anjie,jin2015,7,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",table_3,Jin (2015) - 6b,coherent_intransitive,looking_duration,action,NA,20,English,1217.6,NA,81,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,NA,NA,24,0.529411765,0.5,NA,0.181818182,NA,NA,NA,NA,0.161764706,0.04221183,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,table,action_matching,2015
yes,anjie,jin2015,8,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 6c,coherent_intransitive_2,looking_duration,action,NA,21,English,992.344,NA,59,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,2,NA,16,0.55,0.5,NA,0.18,NA,NA,NA,NA,0.277777778,0.064911265,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,text,action_matching,2015
yes,anjie,jin2015,8,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 6d,coherent_intransitive_3,looking_duration,action,NA,22,English,1278.48,NA,82.5,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,2,NA,15,0.49,0.5,NA,0.14,NA,NA,NA,NA,-0.071428571,0.066836735,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,text,action_matching,2015
yes,maya/anjie,naigles2011,1,https://onlinelibrary.wiley.com/doi/full/10.1002/aur.223?casa_token=Gny81KxMUrQAAAAA%3Adhn9dMHKXEwe1lAgt2RHsmj5fErzaV97YT5ad20C-S_-Op9-RR5jmfF9zq42yzO5IcFE133jdnM,verb,include,"Naigles, L. R., Kelty, E., Jaffery, R., & Fein, D. (2011).",table_vi,"Naigles, Kelty, Jaffery, & Fein (2011) - 1a",transitive_intransitive,looking_duration,action,0.1,naigles2011,English,626.7596,118.77,NA,typically_developing,transitive,noun,noun,fake_verb,video_animal,video,non_person,direct_caused_action,parallel_actions,simultaneous,no,no,distributed,2,2,3,6,the duck is gorping the bunny!,They're different now! Where is gorping now?Find gorping!,2,NA,18,0.49,0.5,0.49,0.424264069,NA,0.1552,1.72,0.41,-0.023570226,0.055570988,group_means_one,not_unique,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,table,action_matching,2011
yes,anjie,yuan2009a,1,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_1,Yuan & Fisher (2009) - 1a,transitive_sentence,looking_duration,action,0.055916775,24,English,870.584,NA,78.5,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,2,8,2,Hey...Jim is gonna blick the cat!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA,8,0.626788036,0.5,NA,0.158156523,NA,NA,NA,NA,0.801661758,0.165166348,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_one_action,no,table,action_matching,2009
yes,anjie,yuan2009a,1,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_1,Yuan & Fisher (2009) - 1b,intransitive_sentence,looking_duration,action,0.053691275,25,English,870.584,NA,78.5,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,2,8,2,Hey...Jim is gonna blick!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA,8,0.553020134,0.5,NA,0.151861859,NA,NA,NA,NA,0.349133973,0.132618408,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_one_action,no,table,action_matching,2009
yes,anjie,yuan2009a,2,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_2,Yuan & Fisher (2009) - 2a,transitive_sentence_same_day,looking_duration,action,0.049414824,26,English,864.496,NA,72.5,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,3,12,3,Hey...Jim is gonna blick the cat!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA,8,0.703511053,0.5,NA,0.13976623,NA,NA,NA,NA,1.456081727,0.257510875,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_one_action,no,table,action_matching,2009
yes,anjie,yuan2009a,2,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_2,Yuan & Fisher (2009) - 2b,intransitive_sentence_same_day,looking_duration,action,0.026388889,27,English,864.496,NA,72.5,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,mass,1,3,12,3,Hey...Jim is gonna blick!,Find blicking! Where’s blicking? See? Where’s blicking?,2,this paper also has a condition that kiddos tested on the second day,8,0.429166667,0.5,NA,0.074639049,NA,NA,NA,NA,-0.949011733,0.181288954,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_one_action,no,table,action_matching,2009
yes,alana/anjie,arunachalam2010,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027709002674,verb,include,"Arunachalam, S., & Waxman, S. R. (2010)",results_text,Arunachalam & Waxman (2010) - 1a,transitive,point_scene,action,NA,28,English,831.012,442,NA,typically_developing,transitive,noun_and_pronoun,pronoun_and_noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady mooped my brother / he is going to moop her,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,NA,20,0.67,0.5,NA,NA,NA,NA,3.19,0.71,0.713305685,0.062720125,t_one,unique_condition,point,varying_agent,varying,pronoun,indirect_caused_action,varying_patient,direct_caused_action_parallel_actions,no,text,action_matching,2010
yes,alana/anjie,arunachalam2010,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027709002674,verb,include,"Arunachalam, S., & Waxman, S. R. (2010)",results_text,Arunachalam & Waxman (2010) - 1b,intransitive,point_scene,action,NA,29,English,831.012,442,NA,typically_developing,intransitive,two_nouns_and_pronoun,intransitive,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady and my brother mooped / Oh yes. They are going to moop,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,NA,20,0.57,0.5,NA,NA,NA,NA,1.34,NA,0.299633109,0.0522445,t_one,unique_condition,point,varying_agent,varying,pronoun,indirect_caused_action,intransitive,direct_caused_action_parallel_actions,no,text,action_matching,2010
yes,alana/anjie,arunachalam2013b,1,https://www.sciencedirect.com/science/article/pii/S0010027713001789,verb,include,"Arunachalam, S. (2013)",results_text,Arunachalam (2013) - 1a,transitive,looking_duration,action,NA,30,English,827.968,75,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,27,2,The girl wants to lorp the teacher,"Look, wow! Where's lorping? Find lorping!",2,NA,20,0.59,0.5,NA,0.2,0.2,NA,NA,NA,0.45,0.0550625,group_means_one,unique_condition,look,noun,1,noun,indirect_caused_action,noun,direct_caused_action_parallel_actions,no,text,action_matching,2013
yes,alana/anjie,arunachalam2013b,1,https://www.sciencedirect.com/science/article/pii/S0010027713001789,verb,include,"Arunachalam, S. (2013)",results_text,Arunachalam (2013) - 1b,intransitive,looking_duration,action,NA,31,English,827.968,75,NA,typically_developing,intransitive,two_nouns,intransitive,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,distributed,4,1,27,2,The girl and the teacher want to lorp,"Look, wow! Where's lorping? Find lorping!",2,NA,20,0.56,0.5,NA,0.23,0.23,NA,NA,NA,0.260869565,0.051701323,group_means_one,unique_condition,look,noun_phrase,2,noun,indirect_caused_action,intransitive,direct_caused_action_parallel_actions,no,text,action_matching,2013
NA,anjie,jyotishi,1,POSTER,verb,include,"Jyotishi & Naigles, Poster",results_figure,"Jyotishi & Naigles, poster - 1a",transitive,looking_duration,action,NA,naigles2011,English,875.15,456.06,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,2,NA,17,0.53,0.5,0.42,0.1671,0.1671,0.1456,NA,NA,0.179533214,0.059771535,group_means_one,not_unique,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,plot,action_matching,NA
NA,anjie,jyotishi,1,POSTER,verb,include,"Jyotishi & Naigles, Poster",results_figure,"Jyotishi & Naigles, poster - 1b",intransitive,looking_duration,action,NA,naigles2011,English,875.15,456.06,NA,typically_developing,intransitive,two_nouns,NA,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck and bunny are zubbing!,Find zubbing!,2,NA,17,0.565465839,0.5,0.509503106,0.164867685,0.164867685,0.204546269,NA,NA,0.39708108,0.063460982,group_means_one,not_unique,look,noun_phrase,2,noun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,plot,action_matching,NA
yes,izzy,messenger2014,1,https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true,verb,include,"Messenger, K., Yuan, S., & Fisher, C. (2015)",figure_2,"Messenger, Yuan, & Fisher (2015) - 1a",same_transitive,looking_duration,action,NA,34,English,684.9,NA,38,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,2,16,2,And Bill was blicking the duck.,Find X-ing!,2,NA,8,0.679780421,0.5,NA,0.2,0.21,NA,NA,NA,0.898902104,0.175501562,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,plot,action_matching,2014
yes,izzy,messenger2014,1,https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true,verb,include,"Messenger, K., Yuan, S., & Fisher, C. (2015)",figure_2,"Messenger, Yuan, & Fisher (2015) - 1b",same_intransitive,looking_duration,action,NA,35,English,684.9,NA,38,typically_developing,intransitive,noun_and_pronoun,NA,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,no,yes,mass,1,2,16,2,And Bill was blicking.,Find X-ing!,2,NA,8,0.62,0.5,NA,0.2,0.2,NA,NA,NA,0.6,0.1475,group_means_one,unique_condition,look,varying_agent,varying,pronoun,direct_caused_action,intransitive,direct_caused_action_parallel_actions,no,plot,action_matching,2014
no,anjie,naigles_unpublished_visit5,visit5,unpublished_data,verb,include,"Naigles, unpublished data, visit 5",author_contact,"Naigles, unpublished - v5",transitive,looking_duration,action,NA,naigles2011,English,1117.7568,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",33,0.54,0.5,0.4586,0.0804,0.0804,0.1068,NA,NA,0.497512438,0.034053313,group_means_one,not_unique,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,author_contact,action_matching,5
no,anjie,naigles_unpublished_visit6,visit6,unpublished_data,verb,include,"Naigles, unpublished data, visit 6",author_contact,"Naigles, unpublished - v6",transitive,looking_duration,action,NA,naigles2011,English,1246.8224,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",34,0.5565,0.5,0.4793,0.1001,0.1001,0.1146,NA,NA,0.564435564,0.034096875,group_means_one,not_unique,look,noun,1,noun,direct_caused_action,noun,direct_caused_action_parallel_actions,no,author_contact,action_matching,6
