coder,unique_id,long_cite,link,grammatical_class,paper_eligibility,exclusion_reason,short_cite, data_source,expt_num,plot_label,expt_condition,dependent_measure,response_mode,test_type,n_1,x_1,x_2_raw,x_2,SD_1,SD_2_raw,SE,SD_2,t,d,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,N_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note
alana,asplin2002,"Asplin, K. N. (2002). Can complement frames help children learn the meaning of abstract verbs?.",https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=2294&context=dissertations_1,verb / sentence structure,exclude,,"Asplin, K. N. (2002)",plot_4,1,N/A,infinitival_4,point_scene,,actor,6,0.56,,0.50,0.16,,,0.16,,,asplin2002,English ,"1,643.76",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,picture_characters,picture,non-person,,,asynchronous,no,yes,mass,1.00,4.00,4.00,N/A,someone daxed the racoon to eat the corn ,who daxed the racoon to eat the corn ,1.00,infinitival and tensed; picture stories
alana,asplin2002,"Asplin, K. N. (2002). Can complement frames help children learn the meaning of abstract verbs?.",https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=2294&context=dissertations_1,verb / sentence structure,exclude,,"Asplin, K. N. (2002)",plot_4,1,N/A,infinitival_5,point_scene,,actor,6,1.00,,0.50,0.00,,,0.00,,,asplin2002,English ,"1,917.72",NA,NA,typically_developing,transitive,pronoun,noun_phrase,fake_verb,picture_characters,picture,non-person,,,asynchronous,no,yes,mass,1.00,4.00,4.00,N/A,someone daxed the racoon to eat the corn ,who daxed the racoon to eat the corn ,1.00,infinitival and tensed; picture stories
alana,baldwin1993,"Baldwin, D. A. (1993). Early referential understanding: Infants' ability to recognize referential acts for what they are. Developmental psychology, 29(5), 832.",https://psycnet.apa.org/doiLanding?doi=10.1037%2F0012-1649.29.5.832,noun,exclude,grammatical_class_noun,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,barner2012,"Barner, D., Lui, T., & Zapf, J. (2012). Is two a plural marker in early child language?. Developmental psychology, 48(1), 10.",https://s3.amazonaws.com/academia.edu.documents/44921089/Is_Two_a_Plural_Marker_in_Early_Child_La20160420-11003-ilo1bz.pdf?response-content-disposition=inline%3B%20filename%3DIs_Two_a_Plural_Marker_in_Early_Child_La.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAPIY2RUZN%2F20200406%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200406T150237Z&X-Amz-Expires=3600&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJ%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQCr2jkyM5%2FO4oXAgJvkbpv9W3AZuldUCbMnzd%2FUTCqzFQIgBrQC6hnZgu9g7CoSDmM%2BkVSjvGifXLcvpeiRVMJvDKgqvQMIp%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDEVyVubTm7H9Q%2Bm3JCqRA0G2gSaJIcmEdEovzMVR2unZwZ4qyIkLfTEU7oi5Yplx49f9lWDotlBD4WzgiHMjrYdUPWC8pc3aVZHcp2Uz1jHFU0G0DT8uswXiyYrWt9bGm8W9EdsYSqnCU1VLwLAGPw3B9W3bJXhc834zOPOjc8yk9aBjUIGfxftyAP3BVxLdsW6d7xTVUybqu88o2Xo8i2Qf9bGCY9fU5dWa%2FqsQ9FMylAq1nW02jiHGpsxSOSvwGGYrcJEWMZ5F5XFZ4KxfotvZj%2FXOSdM5VANxK2%2BU2Shq7co3edaSb3gR3wLHLY3ry9aYBa2J%2Fbo9eCedOpgL1Hec4Pv%2Beo7P1M9QC%2BzFD0%2B2fiDD3Jf9wD6leJrCE7%2F9uWMTy86UhwFKQ7rUcMXzhm0gr5jWIb%2B5sSEu7E8BtSPN4ALi1ewGZnYHL88265hMfsxbVkcQsgpjCIC43%2F37PXy7ttHjZ5B7X6NaTD8QMP9U9oUzgD7HovcC9SgU0P3V3zep8wDkMTr64CEDYX2%2FoAuIbweSVvMbHCUPneMRLMz8MO70rPQFOusBLjTNmFJbcyQxpSzAmnAkzpUp0ZzFVqSf4QtRhiIkZvvLL4lOBpf3u7sr487zvzkYZFkqIXumVQpjEVy9qo6BYWhj2QBFm1ToePPZkFQwYvK3Cc8VXcP2ugIMdf37NYJq9%2BROnnBBBhc%2FLzjr9q%2BMODJh6VwsekfFrxoECZvR4glYxkgOLFNYYIF8eQ0wZ%2Fzeq6i2Ld3I5eA2uXx2cM5vQknoDLau8unqdZ01tIavQ9gzlwAUACmDAcpEaumTA7vXzTmkNofIDpIBmT6DCd9yewvU8Y6%2BdJmeuUL2CITVg7hpWkyeJoLAWqzlBw%3D%3D&X-Amz-SignedHeaders=host&X-Amz-Signature=6d81e7dd4e2c95010f93eea78fdc64ea422238f590896648a25803e64a840e3a,noun ,exclude,grammatical_class_noun,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,bavin2000,"Bavin, E. L., & Growcott, C. (2000). Infants of 24-30 months understand verb frames. In New directions in language development and disorders (pp. 169-177). Springer, Boston, MA.",https://link.springer.com/chapter/10.1007/978-1-4615-4157-8_16,verb,exclude,missing_SD,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,becker2013,"Becker, M., & Estigarribia, B. (2013). Harder words: Learning abstract verbs with opaque syntax. Language Learning and Development, 9(3), 211-244.",https://www.tandfonline.com/doi/full/10.1080/15475441.2013.753798?scroll=top&needAccess=true,verb,exclude,"atypical studies, adults judging whether the sentence is grammatical or not",,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,bedore2000,"Bedore, L. M. (2000). The effect of inflectional variation on fast mapping of verbs.",https://search.proquest.com/docview/304446923,verb,exclude,act_out_paradigm,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,brandone2006,"Brandone, A., Addy, D. A., Pulverman, R., Golinkoff, R. M., & Hirsh-Pasek, K. (2006). One-for-one and two-for-two: anticipating parallel structure between events and language. In Proceedings of the 30th Annual Boston University Conference on Language Development (pp. 36-47). Somerville, MA: Cascadilla Press.",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.2795&rep=rep1&type=pdf,verb,exclude,what is she doing? Tooping? habituation ,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,casenhiser2005,"Casenhiser, D., & Goldberg, A. E. (2005). Fast mapping between a phrasal form and meaning. Developmental science, 8(6), 500-508.",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-7687.2005.00441.x,verb,exclude,not normal syntactic frame,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,cleave2014,"Cleave, P. L., Bird, E. K. R., Trudeau, N., & Sutton, A. (2014). Syntactic bootstrapping in children with Down syndrome: The impact of bilingualism. Journal of Communication Disorders, 49, 42-54.",https://www.sciencedirect.com/science/article/abs/pii/S0021992414000239,both,exclude,"no syntactic frame Look, Xing. I see Xing. Xing.”",,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,deLuca2019,"De Luca, M., & Lupyan, G. Rapid learning of word meanings from distributional and morpho-syntactic cues.",https://cogsci.mindmodeling.org/2019/papers/0286/0286.pdf,verb,exclude,adult answering questions,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alana,eyer2002,"Eyer, J. A., Leonard, L. B., Bedore, L. M., McGregor, K. K., Anderson, B., & Viescas, R. (2002). Fast mapping of verbs by children with specific language impairment. Clinical Linguistics & Phonetics, 16(1), 59-77.",https://www.tandfonline.com/doi/abs/10.1080/02699200110102269,verb,exclude,act out ,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie,fisher1991,"Fisher, C., Gleitman, H., & Gleitman, L. R. (1991). On the semantic content of subcategorization frames. Cognitive psychology, 23(3), 331-392.","https://www.sas.upenn.edu/~gleitman/papers/Fisher,%20Gleitman,%20&%20Gleitman%201991_On%20the%20semantic%20content%20of%20subcategorization%20frames.pdf",verb,exclude,measurement_rating,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie,fisher1994,"Fisher, C., Hall, D. G., Rakowitz, S., & Gleitman, L. (1994). When it is better to receive than to give: Syntactic and conceptual constraints on vocabulary growth. Lingua, 92(1-4), 333-375.",https://dingo.sbs.arizona.edu/~hharley/courses/PDF/FisherHallRakowiczGleitman.pdf,verb,exclude,not forced choice (response and then coded) ,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie,fisher1994,"Fisher, C., Hall, D. G., Rakowitz, S., & Gleitman, L. (1994). When it is better to receive than to give: Syntactic and conceptual constraints on vocabulary growth. Lingua, 92(1-4), 333-375.",https://dingo.sbs.arizona.edu/~hharley/courses/PDF/FisherHallRakowiczGleitman.pdf,verb,exclude,duplicate,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie,fisher1996,"Fisher, C. (1996). Structural limits on verb mapping: The role of analogy in children's interpretations of sentences. Cognitive psychology, 31(1), 41-81.",https://www.sciencedirect.com/science/article/pii/S0010028596900122,verb,exclude,duplicate,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie/molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",table_2,1,"Fisher, (2002) - 1a",transitive_sentence_2.5YO,point,,agent,12,0.63,,0.50,0.10,,,0.10,,,no,English,904.07,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes her over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,"dependent measure is prop agent, and DV is agent;different verbs are being used "
anjie/molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",table_2,1,"Fisher, (2002) - 1b",intransitive_sentence_2.5YO,point,,agent,12,0.33,,0.50,0.11,,,0.11,,,no,English,904.07,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,
anjie/molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",table_2,1,"Fisher, (2002) - 1c",transitive_sentence_3YO,point,,agent,12,0.67,,0.50,0.09,,,0.09,,,no,English,"1,184.12",NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes her over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,
anjie/molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",table_2,1,"Fisher, (2002) - 1d",intransitive_sentence_3YO,point,,agent,11,0.05,,0.50,0.05,,,0.05,,,no,English,"1,184.12",NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,
molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",results,1,N/A,transitive_sentence_adult,point,,agent,12,1.00,,0.5,0.00,,,0.00,,,no,English,adult,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes her over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,
molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",results,1,N/A,intransitive_sentence_adult,point,,agent,12,0.31,,0.5,0.09,,,0.09,,,no,English,adult,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,
anjie/molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",results_text,2,"Fisher, (2002) - 2a",transitive_sentence_2.5YO,point,,agent,12,0.55,,0.5,0.10,,,0.10,,,no,English,916.24,NA,NA,typically_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes her over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,
anjie/molly,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-7687.00209,verb,exclude,AGENT,"Fisher, C. (2002). ",results_text,2,"Fisher, (2002) - 2b",intransitive_sentence_2.5YO,point,,agent,12,0.29,,0.5,0.08,,,0.08,,,no,English,916.24,NA,NA,typically_developing,intransitive,pronoun,NA,fake_verb,video_person,video,person,AGENT,AGENT,immediate-after,NA,NA,distributed,4.00,3.00,9.00,3.00,She stipes over there!,which one (verbed) the other one....point!/which one (verbed)....point!,1.00,
anjie,fisher2002,"Fisher, C. (2002). Structural limits on verb mapping: the role of abstract structure in 2.5‐year‐olds’ interpretations of novel verbs. Developmental Science, 5(1), 55-64.",https://onlinelibrary.wiley.com/doi/full/10.1111/1467-7687.00209?casa_token=eNo17um8vYoAAAAA%3A7kvXySsSmeo1s3VIO4w9OC72PgrkX89V71fLQipS1CA2iMmq_96_oufZYwMJeGXIVD7BJQBniWfrDQ,verb,exclude,duplicate,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie,fisher2006a,"Fisher, C., Klingler, S. L., & Song, H. J. (2006). What does syntax say about space? 2-year-olds use sentence structure to learn new prepositions. Cognition, 101(1), B19-B29.",https://www.sciencedirect.com/science/article/abs/pii/S001002770500185X,prepositions,exclude,grammatical_class_prepositions,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anjie,fisher2006b,"Fisher, C., & Song, H. J. (2006). 15 Who’s the Subject? Sentence Structure and Verb Meaning. Action meets word: How children learn verbs, 392.","https://books.google.com/books?hl=en&lr=&id=McEVDAAAQBAJ&oi=fnd&pg=PA392&dq=Who%E2%80%99s+the+subject%3F+Sentence+structure+and+verb+meaning.+In+K.+Hirsh-Pasek+%26+R.+M.+Golinkoff+(Eds.),+Action+meets+word:+How+children+learn+verbs+(pp.+392%E2%80%93425).+New+York:+Oxford+University+Press.&ots=KJ14-3u_E_&sig=c7yTAKBPZ8iFYHD0tkcLIQeRMAE#v=onepage&q&f=false",,exclude,,"Fisher, C., & Song, H. J. (2006).",table_15_2,1,N/A,transitive_3_progressive_motion,pointing_agent,,agent,20,0.7,,0.5,0.16,,,0.16,,,fisher2006b,English ,1187.16,NA,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,animation_non_person,animation,non_person,,,immediate_after,no,no,distributed,16.00,1.00,4.00,2.00,it's crasting it ,which one is crasting the other one? ,1.00,animacy vs motion
