"","x1","coder","unique_id","link","grammatical_class","paper_eligibility","short_cite","data_source","expt_num","expt_condition","dependent_measure","test_type","same_infant","language","mean_age","productive_vocab_mean","productive_vocab_median","population_type","sentence_structure","agent_argument_type","patient_argument_type","verb_type","stimuli_type","stimuli_modality","stimuli_actor","transitive_event_type","intransitive_event_type","presentation_type","character_identification","practice_phase","test_mass_or_distributed","n_train_test_pair","n_test_trial_per_pair","n_repetitions_sentence","n_repetitions_video","example_target_sentence","test_question","inclusion_certainty","note","n_1","x_1","x_2","x_2_raw","sd_1","sd_2","sd_2_raw","t","d","d_calc","d_var_calc","es_method","unique_infant","test_method","agent_argument_type_clean","agent_argument_number","patient_argument_type_clean","visual_stimuli_pair","adult_participant","data_source_clean","paradigm_type","publication_year"
"11",52,"anjie","naigles_unpublished_visit5","unpublished_data","verb","include","naigles_unpublished_visit5","author_contact","visit5","transitive","looking_duration","action","naigles2011","English",1117.7568,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","non_person","direct_caused_action","parallel_actions","simultaneous","yes","no","distributed",2,2,3,6,"Oh Look! The duck is gorping the bunny!","Find gorping",1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",33,0.54,0.5,0.4586,0.0804,0.0804,0.1068,NA,NA,0.497512437810946,0.0340533125117665,"group_means_one","not_unique","look","noun","1","noun","direct_caused_action_parallel_actions","no","author_contact","action_matching",5
"12",53,"anjie","naigles_unpublished_visit6","unpublished_data","verb","include","naigles_unpublished_visit6","author_contact","visit6","transitive","looking_duration","action","naigles2011","English",1246.8224,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","non_person","direct_caused_action","parallel_actions","simultaneous","yes","no","distributed",2,2,3,6,"Oh Look! The duck is gorping the bunny!","Find gorping",1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",34,0.5565,0.5,0.4793,0.1001,0.1001,0.1146,NA,NA,0.564435564435564,0.0340968750941131,"group_means_one","not_unique","look","noun","1","noun","direct_caused_action_parallel_actions","no","author_contact","action_matching",6
"13",67,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_3","1","baseline_4","point_scene","action","66","English",1643.76,NA,NA,"typically_developing","intransitive","pronoun",NA,"fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"look i'm bilking","point where i'm bilking",1,"transfer event",19,0.4725,0.5,NA,0.2,0.2,NA,NA,NA,-0.1375,0.0531291118421053,"group_means_one","unique_condition","point","pronoun","1","intransitive","indirect_caused_action_one_action","no","table","action_matching",2010
"14",73,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_5","3","double_object_dative_3","point_scene","action","72","English",1278.48,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the teddy Frog","point to where I'm bilking the teddy Frog",1,"transfer event; determning noun vs proper noun",18,0.5975,0.5,NA,0.2125,0.2125,NA,NA,NA,0.458823529411765,0.0614033064206075,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"15",78,"anjie","scott2017","https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001","verb","include","Scott, K., Chu, J., & Schulz, L. (2017)","author_contact","2","transitive_experiment","looking_duration","action","77","English",888.848,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","person","direct_caused_action","one_action","asynchronous","no","yes","distributed",4,2,12,3,NA,"Where's meeking? Find meeking",1,"online study",16,0.426287744227353,0.5,NA,0.126702190645352,0.126702190645352,NA,NA,NA,-0.581775700934585,0.0730769676936852,"group_means_one","unique_condition","look","noun","1","noun","direct_caused_action_one_action","no","author_contact","action_matching",2017
"16",79,"anjie","scott2017","https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001","verb","include","Scott, K., Chu, J., & Schulz, L. (2017)","author_contact","2","intransitive_experiment","looking_duration","action","78","English",888.848,NA,NA,"typically_developing","intransitive","noun",NA,"fake_verb","video_person","video","person","direct_caused_action","one_action","asynchronous","no","yes","distributed",4,2,12,3,"Jane is gonna meek!","Where's meeking? Find meeking",1,"online study",17,0.533149171270718,0.5,NA,0.166298342541436,0.166298342541436,NA,NA,NA,0.199335548172757,0.0599921959048627,"group_means_one","unique_condition","look","noun","1","intransitive","direct_caused_action_one_action","no","author_contact","action_matching",2017
"17",81,"anjie","scott2018","https://www.jbe-platform.com/content/books/9789027263605-tilar.24.07sco","verb","include","Scott, R., Gertner, Y., & Fisher, C. (2018)","results_text","2","transitive","looking_duration","action","80","English",693.12,NA,55,"typically_developing","transitive","noun","noun","fake_verb","animation_non_person","animation","non_person","AGENT","AGENT","immediate_after","yes","no","mass",1,3,7,4,"The ball is gonna sned the flower; the ball is snedding the flower; the ball snedded the flower","Find snedding!",2,NA,24,0.57,0.5,NA,0.14,0.14,NA,2.56,0.5,0.5,0.046875,"group_means_one","unique_condition","look","noun","1","noun","AGENT_AGENT","no","text","agent_matching",2018
"18",82,"anjie","yuan2009a","https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x","verb","include","Yuan, S., & Fisher, C. (2009).","table_1","1","transitive_sentence","looking_duration","action","81","English",870.584,NA,78.5,"typically_developing","transitive","noun_and_pronoun","noun","fake_verb","video_person","video","person","direct_caused_action","one_action","asynchronous","no","yes","mass",1,2,8,2,"Hey...Jim is gonna blick the cat!","Find blicking! Where’s blicking? See? Where’s blicking?",2,NA,8,0.626788036410923,0.5,NA,0.0559167750325097,0.0559167750325097,NA,NA,NA,2.26744186046511,0.446330786911843,"group_means_one","unique_condition","look","varying_agent","varying","noun","direct_caused_action_one_action","no","table","action_matching",2009
"19",95,"anjie","yuan2012","https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8","verb","include","Yuan, S., Fisher, C., & Snedeker, J. (2012)","results_text","3","intransitive_sentence_bystander_event","looking_duration","action","94","English",572.272,NA,16,"typically_developing","intransitive","noun_and_pronoun",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","asynchronous","no","no","mass",1,3,18,3,"He's gorping!","Find gorping.",2,NA,12,0.64,0.5,NA,0.09,0.09,NA,NA,NA,1.55555555555556,0.184156378600823,"group_means_one","unique_condition","look","varying_agent","varying","intransitive","indirect_caused_action_parallel_actions","no","text","action_matching",2012
"20",87,"anjie","yuan2012","https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8","verb","include","Yuan, S., Fisher, C., & Snedeker, J. (2012)","results_text","1","intransitive_sentence_bystander_event","looking_duration","action","86","English",648.372,NA,30,"typically_developing","intransitive","pronoun",NA,"fake_verb","video_person","video","person","direct_caused_action","one_action","immediate_after","no","yes","mass",1,2,5,2,"He's gorping!","Find gorping.",2,NA,8,0.55,0.5,NA,0.21,0.21,NA,NA,NA,0.238095238095238,0.128543083900227,"group_means_one","unique_condition","look","pronoun","1","intransitive","direct_caused_action_one_action","no","text","action_matching",2012
