checked?,coder,unique_id,expt_num,link,grammatical_class,paper_eligibility,short_cite,data_source,plot_label,expt_condition,dependent_measure,test_type,n_1,x_1,x_2_raw,x_2,SD_1,SD_2_raw,SE,SD_2,t,d,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_type,stimuli_modality,stimuli_actor,transitive_event_type,intransitive_event_type,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,N_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note
yes,izzy,jin2015,3,https://www.ideals.illinois.edu/handle/2142/78439,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 3a,it_transitive,looking_duration,action,16,0.56,NA,0.5,0.09,NA,NA,NA,NA,NA,no,English,578.36,NA,17,typically_developing,transitive,pronoun_and_noun,noun,fake_verb,animation_shape,animation,non-person,direct_caused_action,parallel_actions,asynchronous,"NA","NA",mass,1,3,13,3,The cat lorped the bunny!,it's lorping it!,2,NA
yes,izzy,jin2015,3,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 3b,it_intransitive,looking_duration,action,16,0.53,NA,0.5,0.14,NA,NA,NA,NA,NA,no,English,578.36,NA,17,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,animation_shape,animation,non-person,direct_caused_action,parallel_actions,asynchronous,"NA","NA",mass,1,3,13,3,The cat lorped!,it's lorping!,2,NA
yes,anjie,jin2015,6,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 6a,same_verb_intransitive,looking_duration,action,16,0.49,NA,0.5,0.12,NA,NA,NA,NA,NA,no,English,1269.348,NA,90,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,video_person,video,person,indirect_caused_action,parallel_actions,asynchronous,"NA",yes,mass,1,3,10,3,She is pilking!,Find pilking!,2,NA
yes,anjie,jin2015,7,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",table_3,Jin (2015) - 6b,coherent_intransitive,looking_duration,action,24,0.5294117647058824,NA,0.5,0.18181818181818182,NA,NA,NA,NA,NA,no,English,1217.6,NA,81,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,"NA",yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,NA,NA
yes,anjie,jin2015,8,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 6c,coherent_intransitive_2,looking_duration,action,16,0.55,NA,0.5,0.18,NA,NA,NA,NA,NA,no,English,992.344,NA,59,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,"NA",yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,2,NA
yes,anjie,jin2015,8,https://www.ideals.illinois.edu/handle/2142/78440,verb,include,"Jin, K. S. (2015)",results_text,Jin (2015) - 6d,coherent_intransitive_3,looking_duration,action,15,0.49,NA,0.5,0.14,NA,NA,NA,NA,NA,no,English,1278.48,NA,82.5,typically_developing,intransitive,pronoun_and_noun,"NA",fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,"NA",yes,mass,1,1,12,1,she is pilking?,find pilking! where's pilking?,2,NA
yes,maya/anjie,naigles2011,1,https://onlinelibrary.wiley.com/doi/full/10.1002/aur.223?casa_token=Gny81KxMUrQAAAAA%3Adhn9dMHKXEwe1lAgt2RHsmj5fErzaV97YT5ad20C-S_-Op9-RR5jmfF9zq42yzO5IcFE133jdnM,verb,include,"Naigles, L. R., Kelty, E., Jaffery, R., & Fein, D. (2011).",table_vi,"Naigles, Kelty, Jaffery, & Fein (2011) - 1a",transitive_intransitive,looking_duration,action,18,0.49,0.49,0.5,0.4242640687119285,0.1552,0.1,NA,1.72,0.41,naigles2011,English,626.7596,118.77,NA,typically_developing,transitive,noun,noun,fake_verb,video_animal,video,non-person,direct_caused_action,parallel_actions,simultaneous,"NA","NA",distributed,2,2,3,6,the duck is gorping the bunny!,They're different now! Where is gorping now?Find gorping!,2,NA
yes,anjie,yuan2009a,1,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_1,Yuan & Fisher (2009) - 1a,transitive_sentence,looking_duration,action,8,0.6267880364109233,NA,0.5,0.1581565232302811,NA,0.05591677503250975,NA,NA,NA,no,English,870.584,NA,78.5,typical_developing,transitive,pronoun_and_noun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,"NA",yes,mass,1,2,8,2,Hey...Jim is gonna blick the cat!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA
yes,anjie,yuan2009a,1,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_1,Yuan & Fisher (2009) - 1b,intransitive_sentence,looking_duration,action,8,0.553020134228188,NA,0.5,0.15186185904677532,NA,0.05369127516778524,NA,NA,NA,no,English,870.584,NA,78.5,typical_developing,intransitive,pronoun_and_noun,"NA",fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,"NA",yes,mass,1,2,8,2,Hey...Jim is gonna blick!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA
yes,anjie,yuan2009a,2,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_2,Yuan & Fisher (2009) - 2a,transitive_sentence_same_day,looking_duration,action,8,0.7035110533159948,NA,0.5,0.13976622983141124,NA,0.04941482444733421,NA,NA,NA,no,English,864.496,NA,72.5,typical_developing,transitive,pronoun_and_noun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,"NA",yes,mass,1,3,12,3,Hey...Jim is gonna blick the cat!,Find blicking! Where’s blicking? See? Where’s blicking?,2,NA
yes,anjie,yuan2009a,2,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02341.x,verb,include,"Yuan, S., & Fisher, C. (2009).",table_2,Yuan & Fisher (2009) - 2b,intransitive_sentence_same_day,looking_duration,action,8,0.42916666666666664,NA,0.5,0.07463904912524669,NA,0.02638888888888889,NA,NA,NA,no,English,864.496,NA,72.5,typical_developing,intransitive,pronoun_and_noun,"NA",fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,"NA",yes,mass,1,3,12,3,Hey...Jim is gonna blick!,Find blicking! Where’s blicking? See? Where’s blicking?,2,this paper also has a condition that kiddos tested on the second day
yes,alana/anjie,arunachalam2010,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027709002674,verb,include,"Arunachalam, S., & Waxman, S. R. (2010)",results_text,Arunachalam & Waxman (2010) - 1a,transitive,point_scene,action,20,0.67,NA,0.5,NA,NA,NA,NA,3.19,0.71,no,English,831.012,442,NA,typically_developing,transitive,pronoun_and_noun,pronoun_and_noun,fake_verb,video_person,video,person,direct_ caused_movement,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady mooped my brother / he is going to moop her,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,NA
yes,alana/anjie,arunachalam2010,1,https://www.sciencedirect.com/science/article/abs/pii/S0010027709002674,verb,include,"Arunachalam, S., & Waxman, S. R. (2010)",results_text,Arunachalam & Waxman (2010) - 1b,intransitive,point_scene,action,20,0.57,NA,0.5,NA,NA,NA,NA,1.34,NA,no,English,831.012,442,NA,typically_developing,intransitive,two_nouns_and_pronoun,intransitive,fake_verb,video_person,video,person,direct_ caused_movement,parallel_actions,asynchronous,no,yes,distributed,4,1,8,2,The lady and my brother mooped / Oh yes. They are going to moop,"Look, wow! Where's mooping?Do you see mooping? Find mooping!",2,NA
yes,alana/anjie,arunachalam2013b,1,https://www.sciencedirect.com/science/article/pii/S0010027713001789,verb,include,"Arunachalam, S. (2013)",results_text,Arunachalam (2013) - 1a,transitive,looking_duration,action,20,0.59,NA,0.5,0.2,NA,NA,0.2,NA,NA,no,English,827.968,75,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_ caused_movement,parallel_actions,asynchronous,no,yes,distributed,4,1,27,2,The girl wants to lorp the teacher,"Look, wow! Where's lorping? Find lorping!",2,NA
yes,alana/anjie,arunachalam2013b,1,https://www.sciencedirect.com/science/article/pii/S0010027713001789,verb,include,"Arunachalam, S. (2013)",results_text,Arunachalam (2013) - 1b,intransitive,looking_duration,action,20,0.56,NA,0.5,0.23,NA,NA,0.23,NA,NA,no,English,827.968,75,NA,typically_developing,intransitive,two_nouns,intransitive,fake_verb,video_person,video,person,direct_ caused_movement,parallel_actions,asynchronous,no,yes,distributed,4,1,27,2,The girl and the teacher want to lorp,"Look, wow! Where's lorping? Find lorping!",2,NA
NA,anjie,jyotishi,1,POSTER,verb,include,"Jyotishi & Naigles, Poster",results_figure,"Jyotishi & Naigles, poster - 1a",transitive,looking_duration,action,17,0.53,0.42,0.5,0.1671,0.1456,NA,0.1671,NA,NA,naigles2011,English,875.15,456.06,NA,typical_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,2,NA
NA,anjie,jyotishi,1,POSTER,verb,include,"Jyotishi & Naigles, Poster",results_figure,"Jyotishi & Naigles, poster - 1b",intransitive,looking_duration,action,17,0.5654658385093168,0.5095031055900621,0.5,0.1648676854267611,0.2045462686567164,NA,0.1648676854267611,NA,NA,naigles2011,English,875.15,456.06,NA,typical_developing,intransitive,two_nouns,"NA",fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck and bunny are zubbing!,Find zubbing!,2,NA
yes,izzy,messenger2014,1,https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true,verb,include,"Messenger, K., Yuan, S., & Fisher, C. (2015)",figure_2,"Messenger, Yuan, & Fisher (2015) - 1a",same_transitive,looking_duration,action,8,0.6797804208600183,NA,0.5,0.2,NA,NA,0.21,NA,NA,no,English,684.9,NA,38,typically_developing,transitive,noun_and_pronoun,noun,fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,"NA",yes,mass,1,2,16,2,And Bill was blicking the duck.,Find X-ing!,2,NA
yes,izzy,messenger2014,1,https://www.tandfonline.com/doi/full/10.1080/15475441.2014.978331?scroll=top&needAccess=true,verb,include,"Messenger, K., Yuan, S., & Fisher, C. (2015)",figure_2,"Messenger, Yuan, & Fisher (2015) - 1b",same_intransitive,looking_duration,action,8,0.62,NA,0.5,0.2,NA,NA,0.2,NA,NA,no,English,684.9,NA,38,typically_developing,intransitive,noun_and_pronoun,"NA",fake_verb,video_person,video,person,direct_caused_action,parallel_actions,asynchronous,"NA",yes,mass,1,2,16,2,And Bill was blicking.,Find X-ing!,2,NA
no,anjie,naigles_unpublished_visit5,visit5,unpublished_data,verb,include,"Naigles, unpublished data, visit 5",author_contact,"Naigles, unpublished - v5",transitive,looking_duration,action,33,0.54,0.4586,0.5,0.0804,0.1068,NA,0.0804,NA,NA,naigles2011,English,1117.7568,NA,NA,typical_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive"
no,anjie,naigles_unpublished_visit6,visit6,unpublished_data,verb,include,"Naigles, unpublished data, visit 6",author_contact,"Naigles, unpublished - v6",transitive,looking_duration,action,34,0.5565,0.4793,0.5,0.1001,0.1146,NA,0.1001,NA,NA,naigles2011,English,1246.8224,NA,NA,typical_developing,transitive,noun,noun,fake_verb,video_person,video,non_person,direct_caused_action,parallel_actions,simultaneous,yes,no,distributed,2,2,3,6,Oh Look! The duck is gorping the bunny!,Find gorping,1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive"
no,anjie,naigles1990,1,https://www.cambridge.org/core/journals/journal-of-child-language/article/children-use-syntax-to-learn-verb-meanings/4E19981CDD2D247CBB37D32A45BAFE31,verb,include,"Naigles, L.(1990).",author_contact,Naigles (1990) - 1a,transitive,looking_duration,action,12,0.5480769230769231,NA,0.5,0.13653846153846153,NA,NA,0.13653846153846153,NA,NA,no,English,761,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_non_person,video,non_person,direct_caused_action,parallel_actions,immediate_after,yes,no,distributed,4,2,3,6,Look! The duck is gorping the bunny!,Where's the gorping now?,2,NA
no,anjie,naigles1990,1,https://www.cambridge.org/core/journals/journal-of-child-language/article/children-use-syntax-to-learn-verb-meanings/4E19981CDD2D247CBB37D32A45BAFE31,verb,include,"Naigles, L.(1990).",author_contact,Naigles (1990) - 1b,intransitive,looking_duration,action,12,0.5951035781544256,NA,0.5,0.10546139359698682,NA,NA,0.10546139359698682,NA,NA,no,English,761,NA,NA,typically_developing,intransitive,two_nouns,"NA",fake_verb,video_non_person,video,non_person,direct_caused_action,parallel_actions,immediate_after,yes,no,distributed,4,2,3,6,Look! The duck and the bunny are gorping!,Where's the gorping now?,2,NA
yes,maya/anjie,naigles1993,2,https://www.jstor.org/stable/pdf/1131462.pdf?seq=2,verb,include,"Naigles, L. G., & Kako, E.T. (1993).",results_text,Naigles & Kako (1993) - 2a,transitive_sentence,looking_duration,action,20,0.5051546391752578,NA,0.5,0.12164948453608247,NA,NA,0.12164948453608247,NA,NA,no,English,852.32,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_animal,video,non-person,minimal_contact,parallel_actions,immediate_after,yes,"NA",distributed,4,2,3,6,the duck is gorping the frog,Oh! They're different now!Where's gorping now? Find gorping!,2,calculated SD from raw
yes,maya/anjie,naigles1993,2,https://www.jstor.org/stable/pdf/1131462.pdf?seq=3,verb,include,"Naigles, L. G., & Kako, E.T. (1993).",results_text,Naigles & Kako (1993) - 2b,intransitive_sentence,looking_duration,action,16,0.564755838641189,NA,0.5,0.118895966029724,NA,NA,0.118895966029724,NA,NA,no,English,791.44,NA,NA,typically_developing,intransitive,2noun,"NA",fake_verb,video_animal,video,non-person,minimal_contact,parallel_actions,immediate_after,yes,"NA",distributed,4,2,3,6,the duck and the frog are gorping,Oh! They're different now!Where's gorping now? Find gorping!,2,calculated SD from raw
no,anjie,scott2017,2,https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001,verb,include,"Scott, K., Chu, J., & Schulz, L. (2017)",author_contact,"Scott, Chu, & Schulz (2017) - 2a",transitive_experiment,looking_duration,action,16,0.42628774422735344,NA,0.5,0.1267021906453523,NA,NA,0.1267021906453523,NA,NA,no,English,888.848,NA,NA,typically_developing,transitive,noun,noun,fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,distributed,4,2,12,3,"NA",Where's meeking? Find meeking,1,online study
no,anjie,scott2017,2,https://www.mitpressjournals.org/doi/full/10.1162/OPMI_a_00001,verb,include,"Scott, K., Chu, J., & Schulz, L. (2017)",author_contact,"Scott, Chu, & Schulz (2017) - 2b",intransitive_experiment,looking_duration,action,17,0.5331491712707183,NA,0.5,0.16629834254143644,NA,NA,0.16629834254143644,NA,NA,no,English,888.848,NA,NA,typically_developing,intransitive,noun,"NA",fake_verb,video_person,video,person,direct_caused_action,one_action,asynchronous,no,yes,distributed,4,2,12,3,Jane is gonna meek!,Where's meeking? Find meeking,1,online study
yes,anjie,yuan2012,1,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 1a",transitive_sentence_simple_event,looking_duration,action,8,0.67,NA,0.5,0.13,NA,NA,0.13,NA,NA,no,English,648.372,NA,30,typical_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,direct_caused_action,one_action,immediate_after,"NA",yes,mass,1,2,5,2,He's gorping him!,Find gorping.,2,NA
no,anjie,yuan2012,1,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 1b",intransitive_sentence_simple_event,looking_duration,action,8,0.55,NA,0.5,0.21,NA,NA,0.21,NA,NA,no,English,648.372,NA,30,typical_developing,intransitive,pronoun,"NA",fake_verb,video_person,video,person,direct_caused_action,one_action,immediate_after,"NA",yes,mass,1,2,5,2,He's gorping!,Find gorping.,2,NA
no,anjie,yuan2012,1_rep,https://srcd.onlinelibrary.wiley.com/doi/full/10.1111/j.1467-8624.2012.01783.x?casa_token=L0uY-e1_C9sAAAAA%3AzP8_NodiA0Z5TaR4sfXCXxhhXOkp63eKDs0p2ofpNhOEj52lWyR9-FNbNd7e1CVBm1rlv3ZG0Y8,verb,include,"Yuan, S., Fisher, C., & Snedeker, J. (2012)",results_text,"Yuan, Fisher, & Snedeker (2012) - 1c",transitive_sentence_simple_event,looking_duration,action,8,0.7,NA,0.5,0.16,NA,NA,0.16,NA,NA,no,English,648.372,NA,54.5,typical_developing,transitive,pronoun,pronoun,fake_verb,video_person,video,person,indirect_cause_action,one_action,immediate_after,"NA",yes,mass,1,2,5,2,He's gorping him!,Find gorping.,2,NA
