coder,unique_id,long_cite,link,grammatical_class,paper_eligibility,description,short_cite,data_source,expt_num,plot_label,expt_condition,dependent_measure,test_type,n_1,x_1,x_2_raw,x_2,SD_1,SD_2_raw,SD_2,t,d,same_infant,language,mean_age,productive_vocab_mean,productive_vocab_median,population_type,sentence_structure,agent_argument_type,patient_argument_type,verb_type,stimuli_contrast,stimuli_type,stimuli_modality,stimuli_actor,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,N_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,example_target_sentence,test_question,inclusion_certainty,note
izzy/anjie,lidz2009,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009). When one cue is better than two: Lexical vs. syntactic cues to verb learning. Unpublished manuscript.< http://ling. umd. edu/labs/acquisition/papers/2009/LidzBungerLeddonBaierWaxman2009. pdf.",https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_4,2,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 2a",familiarization_low_lexical,looking_duration,action,16,0.49,0.36,0.5,0.244,0.039,0.061,NA,NA,no,English,697.076,192,NA,typically_developing,intransitive,noun_and_pronoun,"NA",fake_verb,no_change,video_person,video,non_person,asynchronous,yes,"NA",distributed,4,1,9,5,Look! The flower is blicking.,Which one is blicking?,1,contrast event
izzy/anjie,lidz2009,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009). When one cue is better than two: Lexical vs. syntactic cues to verb learning. Unpublished manuscript.< http://ling. umd. edu/labs/acquisition/papers/2009/LidzBungerLeddonBaierWaxman2009. pdf.",https://www.researchgate.net/profile/Jeffrey_Lidz/publication/228542830_When_one_cue_is_better_than_two_Lexical_vs_Syntactic_Cues_to_Verb_Learning/links/02bfe512def60ae77c000000.pdf,verb,include,flower spining and flower moving up and down,"Lidz, J., Bunger, A., Leddon, E., Baier, R., & Waxman, S. R. (2009)",table_4,2,"Lidz, Bunger, Leddon, Baier, & Waxman (2009) - 2b",familiarization_high_lexical,looking_duration,action,16,0.6,0.39,0.5,0.184,0.044,0.046,NA,NA,no,English,697.076,192,NA,typically_developing,intransitive,noun,"NA",fake_verb,no_change,video_person,video,non_person,asynchronous,yes,"NA",distributed,4,1,9,5,Look! That thing is blicking!,Which one is blicking?,1,contrast event
anjie,valleau2017,"Valleau, M. J., & Arunachalam, S. (2017). The effects of linguistic context on visual attention while learning novel verbs. In Proceedings of the 41st Annual Boston University Conference on Language Development (pp. 691-705).",https://www.semanticscholar.org/paper/The-effects-of-linguistic-context-on-visual-while-Valleau-Arunachalam/93d1194fa3e60c9a4b69d29d42340412ba845005,verb,include,new object vs new action,"Valleau, M. J., & Arunachalam, S. (2017).",author_contact,1,Valleau & Arunachalam (2017) - 1a,Full_DP,pointing_scene,action,20,0.55,NA,0.5,0.33,NA,NA,NA,NA,no,English,1004.52,69,NA,typical_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,immediate_after,yes,yes,distributed,6,1,1,4,A girl is gonna pilk an unbrella. Let's see,Where do you see pilking?,1,familiar action vs familiar object
anjie,valleau2017,"Valleau, M. J., & Arunachalam, S. (2017). The effects of linguistic context on visual attention while learning novel verbs. In Proceedings of the 41st Annual Boston University Conference on Language Development (pp. 691-705).",https://www.semanticscholar.org/paper/The-effects-of-linguistic-context-on-visual-while-Valleau-Arunachalam/93d1194fa3e60c9a4b69d29d42340412ba845005,verb,include,new object vs new action,"Valleau, M. J., & Arunachalam, S. (2017).",author_contact,1,Valleau & Arunachalam (2017) - 1b,pronoun,pointing_scene,action,20,0.5,NA,0.5,0.31,NA,NA,NA,NA,no,English,1004.52,68,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,immediate_after,yes,yes,distributed,6,1,1,4,Let's see what happens here. She's gonna pilk it.,Where do you see pilking?,1,familiar action vs familiar object
anjie,waxman2009,"Waxman, S.R., J. Lidz, I. Braun and T. Lavin. (2009) “24-Month-Old Infants' Interpretations of Novel Verbs and Nouns in Dynamic Scenes.” Cognitive Psychology, 59:67-95.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3482006/pdf/nihms411836.pdf,verb,include,new object vs new action,"Waxman, S.R., J. Lidz, I. Braun and T. Lavin. (2009)",figure_2,1,"Waxman, Lidz,  Braun & Lavin (2009) - 1a",verb,looking_duration,action,24,0.49270466183414247,0.3678526301788921,0.5,0.08796465126706897,0.01983108332779145,0.018221574344023325,NA,NA,no,English,725.6896,57,NA,typical_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,simultaneous,no,no,distributed,6,1,5,6,"Look, the man is larping a ballon!",Which one is he larping?,1,contrast phase
anjie,waxman2009,"Waxman, S.R., J. Lidz, I. Braun and T. Lavin. (2009) “24-Month-Old Infants' Interpretations of Novel Verbs and Nouns in Dynamic Scenes.” Cognitive Psychology, 59:67-95.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3482006/pdf/nihms411836.pdf,verb,include,new object vs new action,"Waxman, S.R., J. Lidz, I. Braun and T. Lavin. (2009)",figure_4,2,"Waxman, Lidz,  Braun & Lavin (2009) - 2a",verb,looking_duration,action,24,0.4191719228127147,0.3795666021357647,0.5,0.07507709771797813,0.01903453444076688,0.02,NA,NA,no,English,732.9952,52,NA,typical_developing,transitive,noun,noun,fake_verb,object_change,video_person,video,person,simultaneous,no,no,distributed,6,1,5,6,"Look, the man is larping a ballon!",Which one is he larping?,1,"contrast phase, and the actions are compared against one with action the other with object"
anjie,syrett2014,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014). Slowly but surely: Adverbs support verb learning in 2-year-olds. Language Learning and Development, 10(3), 263-278.",https://www.tandfonline.com/doi/pdf/10.1080/15475441.2013.840493?casa_token=4RDHUS3NFYMAAAAA:w7rHeoBd5gJ71jdzK-Yab3-yg5adW8MKRb5MtKVn3MFHGrGR_DOTRt6PmCubJGImYJXfwnKmkR7x,verb,include,new object vs new action,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014)",figure_2,1a,"Syrett, Arunachalam, & Waxman (2014) - 1a",semantic_rich_slowly,pointing,action,20,0.65,NA,0.5,0.22360679774997896,NA,0.22360679774997896,NA,NA,no,English,831.012,73,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,2,Let's see a boy and a ballon. He's gonna pilk it slowly!,Where's pilking?,1,"has adverb, different contrast phase"
anjie,syrett2014,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014). Slowly but surely: Adverbs support verb learning in 2-year-olds. Language Learning and Development, 10(3), 263-278.",https://www.tandfonline.com/doi/pdf/10.1080/15475441.2013.840493?casa_token=4RDHUS3NFYMAAAAA:w7rHeoBd5gJ71jdzK-Yab3-yg5adW8MKRb5MtKVn3MFHGrGR_DOTRt6PmCubJGImYJXfwnKmkR7x,verb,include,new object vs new action,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014)",figure_2,1a,"Syrett, Arunachalam, & Waxman (2014) - 1b",semantic_sparse_nicely,pointing,action,20,0.49,NA,0.5,0.22360679774997896,NA,0.22360679774997896,NA,NA,no,English,831.012,73,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,2,Let's see a boy and a ballon. He's gonna pilk it nicely!,Where's pilking?,1,"has adverb, different contrast phase"
anjie,syrett2014,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014). Slowly but surely: Adverbs support verb learning in 2-year-olds. Language Learning and Development, 10(3), 263-278.",https://www.tandfonline.com/doi/pdf/10.1080/15475441.2013.840493?casa_token=4RDHUS3NFYMAAAAA:w7rHeoBd5gJ71jdzK-Yab3-yg5adW8MKRb5MtKVn3MFHGrGR_DOTRt6PmCubJGImYJXfwnKmkR7x,verb,include,new object vs new action,"Syrett, K., Arunachalam, S., & Waxman, S. R. (2014)",figure_3,1b,"Syrett, Arunachalam, & Waxman (2014) - 1c",semantic_sparse_rightnow,pointing,action,20,0.56,NA,0.5,0.25155764746872633,NA,0.25155764746872633,NA,NA,no,English,827.968,67,NA,typical_developing,transitive,pronoun,pronoun,fake_verb,object_change,video_person,video,person,asynchronous,yes,yes,distributed,6,1,1,2,Let's see a boy and a ballon. He's gonna pilk it right now!,Where's pilking?,1,"has adverb, different contrast phase"
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action vs new actor different action,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1a,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1a",same_simple,pointing,action,12,0.7,NA,0.5,0.19696969696969696,NA,0.19696969696969696,NA,NA,childers20171ab,English,1004.52,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1b,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1b",same_complex,pointing,action,12,0.75,NA,0.5,0.16666666666666666,NA,0.16666666666666666,NA,NA,childers20171ab,English,1004.52,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object (three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1c,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1c",diff_simple,pointing,action,12,0.85,NA,0.5,0.1818181818181818,NA,0.1818181818181818,NA,NA,childers20171cd,English,1004.52,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object(three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",figure_appendix_b,1d,"Childers, Paik, Flores, Lai, & Dolan (2017) - 1d",diff_complex,pointing,action,12,0.6,NA,0.5,0.16666666666666666,NA,0.16666666666666666,NA,NA,childers20171cd,English,1004.52,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action vs new actor different action,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2a,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2a",same_simple,pointing,action,10,0.75,NA,0.5,0.22135943621178658,NA,0.22135943621178658,NA,NA,childers20172ab,English,1156.72,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2b,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2b",same_complex,pointing,action,10,0.7,NA,0.5,0.22135943621178658,NA,0.22135943621178658,NA,NA,childers20172ab,English,1156.72,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object (three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2c,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2c",diff_simple,pointing,action,10,0.885,NA,0.5,0.1739252713092609,NA,0.1739252713092609,NA,NA,childers20172cd,English,1156.72,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,childers2017,"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017). Does variability across events affect verb learning in English, Mandarin, and Korean?. Cognitive science, 41, 808-830.",https://onlinelibrary.wiley.com/doi/pdf/10.1111/cogs.12398,verb,include,new actor same action same object vs new actor new action same object(three actors in training),"Childers, J. B., Paik, J. H., Flores, M., Lai, G., & Dolan, M. (2017).",results_text,2d,"Childers, Paik, Flores, Lai, & Dolan (2017) - 2d",diff_complex,pointing,action,10,0.635,NA,0.5,0.22135943621178658,NA,0.22135943621178658,NA,NA,childers20172cd,English,1156.72,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,2,1,8,4,Do you see her (verb) ing?,Can you point to the one who's (verb)-ing?,1,is that the good syntactic cues?
anjie,snape2018,"Snape, S., & Krott, A. (2018). The benefit of simultaneously encountered exemplars and of exemplar variability to verb learning. Journal of child language, 45(6), 1412-1422.",https://core.ac.uk/download/pdf/185507178.pdf,verb,include,same actor diff action vs same actor diff object,"Snape, S., & Krott, A. (2018)",figure_2,1,Snape & Krott (2018) - 1a,single_action_scene,pointing,action,20,0.5221674876847291,NA,0.5,0.24233249017239103,NA,0.24233249017239103,0.3,NA,no,English,1275.436,NA,NA,typical_developing,intransitive,pronoun,"NA",fake_verb,actor_change,video_person,video,person,simultaneous,no,yes,distributed,6,1,4,2,look she is blicking,Which video is she blicking in?,2,NA
anjie,snape2018,"Snape, S., & Krott, A. (2018). The benefit of simultaneously encountered exemplars and of exemplar variability to verb learning. Journal of child language, 45(6), 1412-1422.",https://core.ac.uk/download/pdf/185507178.pdf,verb,include,same actor diff action vs same actor diff object,"Snape, S., & Krott, A. (2018)",figure_2,1,Snape & Krott (2018) - 1b,different_action,pointing,action,20,0.7438423645320198,NA,0.5,0.2203022637930828,NA,0.2203022637930828,NA,NA,no,NA,1275.436,NA,NA,NA,NA,NA,NA,fake_verb,actor_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anjie,snape2018,"Snape, S., & Krott, A. (2018). The benefit of simultaneously encountered exemplars and of exemplar variability to verb learning. Journal of child language, 45(6), 1412-1422.",https://core.ac.uk/download/pdf/185507178.pdf,verb,include,same actor diff action vs same actor diff object,"Snape, S., & Krott, A. (2018)",figure_2,1,Snape & Krott (2018) - 1c,same_action,pointing,action,20,0.58128078817734,NA,0.5,0.24233249017239103,NA,0.24233249017239103,NA,NA,no,NA,1275.436,NA,NA,NA,NA,NA,NA,fake_verb,actor_change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
