"","x1","coder","unique_id","link","grammatical_class","paper_eligibility","short_cite","data_source","expt_num","plot_label","expt_condition","dependent_measure","test_type","same_infant","language","mean_age","productive_vocab_mean","productive_vocab_median","population_type","sentence_structure","agent_argument_type","patient_argument_type","verb_type","stimuli_type","stimuli_modality","stimuli_actor","transitive_event_type","intransitive_event_type","presentation_type","character_identification","practice_phase","test_mass_or_distributed","n_train_test_pair","n_test_trial_per_pair","n_repetitions_sentence","n_repetitions_video","example_target_sentence","test_question","inclusion_certainty","note","n_1","x_1","x_2","x_2_raw","sd_1","sd_2","sd_2_raw","t","d","d_calc","d_var_calc","es_method","unique_infant","test_method","agent_argument_type_clean","agent_argument_number","patient_argument_type_clean","visual_stimuli_pair","adult_participant","data_source_clean","paradigm_type","publication_year"
"11",17,"anjie","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","figure_6","2","Gertner & Fisher (2012) - 2b","agent_first","looking_duration","action","17","English",633.152,NA,29.5,"typically_developing","intransitive","2nouns",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","asynchronous","yes","yes","distributed",2,2,21,2,"The girl and the boy are pilking!",NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.370833333333333,0.5,NA,0.0194444444444444,0.054997194092287,NA,NA,NA,-6.64285714285717,2.88297193877554,"group_means_one","unique_condition","look","noun_phrase","2","intransitive","indirect_caused_action_parallel_actions","no","plot","action_matching",2012
"12",18,"anjie","gertner2012","https://www.sciencedirect.com/science/article/abs/pii/S0010027712000601","verb","include","Gertner, Y., & Fisher, C. (2012)","figure_6","2","Gertner & Fisher (2012) - 2c","patient_first","looking_duration","action","18","English",633.152,NA,29.5,"typically_developing","intransitive","2nouns",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","asynchronous","yes","yes","distributed",2,2,21,2,"The boy and the girl are pilking!",NA,1,"intransitive is 2 nouns, and difficulty depends on videos in scene",8,0.577777777777778,0.5,NA,0.0319444444444444,0.0903525331516144,NA,NA,NA,2.43478260869566,0.495510396975428,"group_means_one","unique_condition","look","noun_phrase","2","intransitive","indirect_caused_action_parallel_actions","no","plot","action_matching",2012
"13",35,"anjie","kline2017","https://www.tandfonline.com/doi/full/10.1080/15475441.2016.1171771?casa_token=WVuMLIRtM1QAAAAA:g7ZS2XcEwj4j8lhrjSM5M9DkIHiuTY7JsCjIH-4uLgWb8Do9xb-whHSa4h1CZTbzWpBiZMqMhQSx","verb","include","Kline, M., Snedeker, J., & Schulz, L. (2017)","figure_6","2","Kline, Snedeker, & Schulz (2017) - 2a","transitive","pointing_action","action","35","English",1461.12,NA,NA,"typically_developing","transitive","pronoun","pronoun","fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","simultaneous","yes","yes","mass",1,2,4,3,"She's gonna meek something. She meeked it! Wow, she meeked it!","...where she meeked it",1,"two videos are agent-first / agent-last and no-contact causal scene",24,0.75,0.5,NA,0.101694915254237,0.101694915254237,NA,NA,NA,2.45833333333334,0.167570891203704,"group_means_one","unique_condition","point","pronoun","1","pronoun","indirect_caused_action_parallel_actions","no","plot","action_matching",2017
"14",36,"anjie","kline2017","https://www.tandfonline.com/doi/full/10.1080/15475441.2016.1171771?casa_token=WVuMLIRtM1QAAAAA:g7ZS2XcEwj4j8lhrjSM5M9DkIHiuTY7JsCjIH-4uLgWb8Do9xb-whHSa4h1CZTbzWpBiZMqMhQSx","verb","include","Kline, M., Snedeker, J., & Schulz, L. (2017)","figure_6","2","Kline, Snedeker, & Schulz (2017) - 2b","intransitive","pointing_action","action","36","English",1461.12,NA,NA,"typically_developing","intransitive","pronoun",NA,"fake_verb","video_person","video","person","indirect_caused_action","parallel_actions","simultaneous","yes","yes","mass",1,2,4,3,"Something's gonna meek. It meeked! Wow, it meeked!","...where it meeked",1,"two videos are agent-first / agent-last and no-contact causal scene",25,0.44,0.5,NA,0.122298850574713,0.122298850574713,NA,NA,NA,-0.490601503759397,0.0448137967098196,"group_means_one","unique_condition","point","pronoun","1","intransitive","indirect_caused_action_parallel_actions","no","plot","action_matching",2017
"15",39,"anjie","naigles_unpublished_visit5","unpublished_data","verb","include","Naigles, unpublished data, visit 5","author_contact","visit5","Naigles, unpublished - v5","transitive","looking_duration","action","naigles2011","English",1117.7568,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","non_person","direct_caused_action","parallel_actions","simultaneous","yes","no","distributed",2,2,3,6,"Oh Look! The duck is gorping the bunny!","Find gorping",1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",33,0.54,0.5,0.4586,0.0804,0.0804,0.1068,NA,NA,0.497512437810946,0.0340533125117665,"group_means_one","not_unique","look","noun","1","noun","direct_caused_action_parallel_actions","no","author_contact","action_matching",5
"16",40,"anjie","naigles_unpublished_visit6","unpublished_data","verb","include","Naigles, unpublished data, visit 6","author_contact","visit6","Naigles, unpublished - v6","transitive","looking_duration","action","naigles2011","English",1246.8224,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_person","video","non_person","direct_caused_action","parallel_actions","simultaneous","yes","no","distributed",2,2,3,6,"Oh Look! The duck is gorping the bunny!","Find gorping",1,"data quite noisey: collapse across two type of testing procedures: one tested four novel verb in transitive, the other tested two novel verb in transitive and than in inintransitive",34,0.5565,0.5,0.4793,0.1001,0.1001,0.1146,NA,NA,0.564435564435564,0.0340968750941131,"group_means_one","not_unique","look","noun","1","noun","direct_caused_action_parallel_actions","no","author_contact","action_matching",6
"17",45,"maya/anjie","naigles1993","https://www.jstor.org/stable/pdf/1131462.pdf?seq=4","verb","include","Naigles, L. G., & Kako, E.T. (1993).","results_text","3","Naigles & Kako (1993) - 3a","transitive_sentence","looking_duration","action","45","English",852.32,NA,NA,"typically_developing","transitive","noun","noun","fake_verb","video_animal","video","non_person","direct_caused_action","minimal_contact","immediate_after","yes","no","distributed",4,2,3,6,"the duck is tigging the frog","Oh! They're different now!Where's gorping now? Find gorping!",1,"causative vs contact video;calculated SD from raw",20,0.552688172043011,0.5,NA,0.176344086021505,0.176344086021505,NA,NA,NA,0.29878048780488,0.0522317444973231,"group_means_one","unique_condition","look","noun","1","noun","direct_caused_action_minimal_contact","no","text","action_matching",1993
"18",46,"maya/anjie","naigles1996","https://www.sciencedirect.com/science/article/pii/0010027795006818","verb","include","Naigles, L. R. (1996).","table_5","1","Naigles (1996) - 1a","omitted_object","looking_duration","action","46","English",870.584,NA,NA,"typically_developing","transitive","noun","noun_and_dropping","fake_verb","video_animal","video","non_person","direct_caused_action","minimal_contact","immediate_after","yes","no","distributed",4,2,9,6,"the duck is sebbing the frog, the duck is sebbing","Oh! They're different now! See? They're different now! Where's sebbing now? Find sebbing now! See sebbing now? Look at sebbing!",1,"alternating frames; causative vs contact;calculated SD from raw",32,0.548523206751055,0.5,NA,0.109704641350211,0.109704641350211,NA,NA,NA,0.442307692307694,0.03430681397929,"group_means_one","unique_condition","look","noun","1","varying_patient","direct_caused_action_minimal_contact","no","table","action_matching",1996
"19",47,"maya/anjie","naigles1996","https://www.sciencedirect.com/science/article/pii/0010027795006818","verb","include","Naigles, L. R. (1996).","table_5","1","Naigles (1996) - 1b","intransitive_only","looking_duration","action","47","English",856.886,NA,NA,"typically_developing","intransitive","noun",NA,"fake_verb","video_animal","video","non_person","direct_caused_action","minimal_contact","immediate_after","yes","no","distributed",4,2,9,6,"the duck is sebbing!","Oh! They're different now! See? They're different now! Where's sebbing now? Find sebbing now! See sebbing now? Look at sebbing!",1,"intransitive but only given causative vs contact;calculated SD from raw",24,0.595454545454545,0.5,NA,0.140909090909091,0.140909090909091,NA,NA,NA,0.677419354838706,0.0512270204647935,"group_means_one","unique_condition","look","noun","1","intransitive","direct_caused_action_minimal_contact","no","table","action_matching",1996
"20",49,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_3","1","Rowland & Noble (2010) - 1a","prepositional_dative_3","point_scene","action","49","English",1248.04,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the frog to the teddy","point to where I'm biking the frog to the duck",1,"transfer event",16,0.7025,0.5,NA,0.245,0.245,NA,NA,NA,0.826530612244898,0.0838485266555602,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"21",50,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_3","1","Rowland & Noble (2010) - 1b","double_object_dative_3","point_scene","action","50","English",1248.04,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the teddy the frog","point to where I'm bilking the teddy the frog",1,"transfer event",16,0.485,0.5,NA,0.295,0.295,NA,NA,NA,-0.0508474576271187,0.0625807957483482,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"22",51,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_3","1","Rowland & Noble (2010) - 1c","baseline_3","point_scene","action","51","English",1248.04,NA,NA,"typically_developing","intransitive","pronoun",NA,"fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"look i'm bilking","point where i'm bilking",1,"transfer event",16,0.485,0.5,NA,0.2125,0.2125,NA,NA,NA,-0.0705882352941177,0.0626557093425606,"group_means_one","unique_condition","point","pronoun","1","intransitive","indirect_caused_action_one_action","no","table","action_matching",2010
"23",52,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_3","1","Rowland & Noble (2010) - 1d","prepositional_dative_4","point_scene","action","52","English",1643.76,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the frog to the teddy","point to where I'm biking the frog to the duck",1,"transfer event",20,0.725,0.5,NA,0.2425,0.2425,NA,NA,NA,0.927835051546392,0.0715219470719524,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"24",53,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_3","1","Rowland & Noble (2010) - 1e","double_object_dative_4","point_scene","action","53","English",1643.76,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the teddy the frog","point to where I'm bilking the teddy the frog",1,"transfer event",19,0.3675,0.5,NA,0.2925,0.2925,NA,NA,NA,-0.452991452991453,0.0580316120127186,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"25",54,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_3","1","Rowland & Noble (2010) - 1f","baseline_4","point_scene","action","54","English",1643.76,NA,NA,"typically_developing","intransitive","pronoun",NA,"fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"look i'm bilking","point where i'm bilking",1,"transfer event",19,0.4725,0.5,NA,0.2,0.2,NA,NA,NA,-0.1375,0.0531291118421053,"group_means_one","unique_condition","point","pronoun","1","intransitive","indirect_caused_action_one_action","no","table","action_matching",2010
"26",55,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_4","2","Rowland & Noble (2010) - 2a","prepositional_dative_3","point_scene","action","55","English",1248.04,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the frog to Teddy","point to where I'm biking the frog to Teddy",1,"transfer event; determning noun vs proper noun",17,0.69,0.5,NA,0.2725,0.2725,NA,NA,NA,0.697247706422018,0.0731221871797284,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"27",56,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_4","2","Rowland & Noble (2010) - 2b","double_object_dative_3","point_scene","action","56","English",1248.04,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking Teddy the frog","point to where I'm bilking Teddy the frog",1,"transfer event; determning noun vs proper noun",15,0.7,0.5,NA,0.2525,0.2525,NA,NA,NA,0.792079207920792,0.0875796490540143,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"28",57,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_4","2","Rowland & Noble (2010) - 2c","prepositional_dative_4","point_scene","action","57","English",1643.76,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the frog to Teddy","point to where I'm biking the frog to Teddy",1,"transfer event; determning noun vs proper noun",14,0.8225,0.5,NA,0.1825,0.1825,NA,NA,NA,1.76712328767123,0.182954454065357,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"29",58,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_4","2","Rowland & Noble (2010) - 2d","double_object_dative_4","point_scene","action","58","English",1643.76,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking Teddy the frog","point to where I'm bilking Teddy the frog",1,"transfer event; determning noun vs proper noun",17,0.72,0.5,NA,0.2475,0.2475,NA,NA,NA,0.888888888888889,0.0820624546114742,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"30",59,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_5","3","Rowland & Noble (2010) - 3a","prepositional_dative_3","point_scene","action","59","English",1278.48,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking Frog to the teddy","point to where I'm bilking Frog to the teddy",1,"transfer event; determning noun vs proper noun",22,0.7025,0.5,NA,0.1825,0.1825,NA,NA,NA,1.10958904109589,0.0734360872754568,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"31",60,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_5","3","Rowland & Noble (2010) - 3b","double_object_dative_3","point_scene","action","60","English",1278.48,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the teddy Frog","point to where I'm bilking the teddy Frog",1,"transfer event; determning noun vs proper noun",18,0.5975,0.5,NA,0.2125,0.2125,NA,NA,NA,0.458823529411765,0.0614033064206075,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"32",61,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_5","3","Rowland & Noble (2010) - 3c","prepositional_dative_4","point_scene","action","61","English",1582.88,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking Frog to the teddy","point to where I'm bilking Frog to the teddy",1,"transfer event; determning noun vs proper noun",20,0.6875,0.5,NA,0.3325,0.3325,NA,NA,NA,0.56390977443609,0.0579498558426141,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"33",62,"maya/anjie","rowland2010","https://www.tandfonline.com/doi/abs/10.1080/15475441003769411?journalCode=hlld20","verb","include","Rowland, C. F., & Noble, C. L. (2010).","table_5","3","Rowland & Noble (2010) - 3d","double_object_dative_4","point_scene","action","62","English",1582.88,NA,NA,"typically_developing","transitive","pronoun","noun_phrase","fake_verb","animation_non_person","animation","non_person","indirect_caused_action","one_action","immediate_after","yes","yes","distributed",4,1,3,1,"I'm bilking the teddy Frog","point to where I'm bilking the teddy Frog",1,"transfer event; determning noun vs proper noun",22,0.59,0.5,NA,0.285,0.285,NA,NA,NA,0.31578947368421,0.047720977083858,"group_means_one","unique_condition","point","pronoun","1","noun_phrase","indirect_caused_action_one_action","no","table","action_matching",2010
"34",63,"anjie","scott2009","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701745/","verb","include","Scott, R. M., & Fisher, C. (2009).","table_4","2","Scott & Fisher (2009) - 2a","unspecified_object_same_verb","looking_duration","action","63","English",855.364,NA,70,"typically_developing","transitive","noun_and_pronoun","noun_and_dropping","fake_verb","video_person","video","person","direct_caused_action","minimal_contact","asynchronous","yes","yes","mass",1,2,15,2,"Matt dacked the pillo. Really? He dacked the pillow? Yeah. He dacked. Right. He dacked.","The girl is dacking the boy. Find dacking!",1,"alternating structure",12,0.39,0.5,NA,0.21,0.21,NA,NA,NA,-0.523809523809524,0.0947656840513983,"group_means_one","unique_condition","look","varying_agent","varying","varying_patient","direct_caused_action_minimal_contact","no","table","action_matching",2009
"35",64,"anjie","scott2009","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2701745/","verb","include","Scott, R. M., & Fisher, C. (2009).","table_4","2","Scott & Fisher (2009) - 2b","unspecified_object_different_verb","looking_duration","action","64","English",855.364,NA,70,"typically_developing","transitive","noun_and_pronoun","noun_and_dropping","fake_verb","video_person","video","person","direct_caused_action","minimal_contact","asynchronous","yes","yes","mass",1,2,15,2,"Matt dacked the pillo. Really? He dacked the pillow? Yeah. He dacked. Right. He dacked.","The girl is pimming the boy. Find pimming!",1,"alternating structure + different verb",12,0.41,0.5,NA,0.17,0.17,NA,NA,NA,-0.529411764705882,0.0950115340253748,"group_means_one","unique_condition","look","varying_agent","varying","varying_patient","direct_caused_action_minimal_contact","no","table","action_matching",2009
